n;przegladanie_dfs;przegladanie_bfs;dfs_sort_matrix;dfs_sort_list;dfs_sort_table;

100;0.0030582427978515627;0.0040449857711791996;0.004132080078125;0.0033071756362915037;0.027289199829101562;

200;0.022309374809265137;0.029290294647216795;0.027166867256164552;0.023866558074951173;0.21930902004241942;

300;0.07031087875366211;0.09535236358642578;0.08632984161376953;0.07825231552124023;0.7545562267303467;

400;0.15361263751983642;0.22455053329467772;0.19803946018218993;0.1835036039352417;1.836889386177063;

500;0.30900213718414304;0.42626452445983887;0.3794779539108276;0.3560401678085327;3.660203719139099;

600;0.5252581596374511;0.7414429664611817;0.6451138734817505;0.60973961353302;6.500984787940979;

700;0.8312371492385864;1.1571325540542603;1.0151018619537353;0.9653530359268189;10.394382357597351;

800;1.2277300119400025;1.7421424865722657;1.4996365308761597;1.436471652984619;16.684019494056702;

900;1.7678984165191651;2.461631917953491;2.119861912727356;2.044388747215271;22.36901330947876;

1000;2.369420886039734;3.341356611251831;2.896915817260742;2.7944591283798217;33.2522011756897;

100;0.003057098388671875;0.0038402795791625975;0.004100990295410156;0.0032557249069213867;0.027827191352844238;

200;0.019357895851135253;0.027758312225341798;0.02640562057495117;0.022953724861145018;0.22377877235412597;

300;0.06440103054046631;0.09070861339569092;0.08365263938903808;0.07563917636871338;0.7644973516464233;

400;0.14450533390045167;0.20435037612915039;0.19013073444366455;0.1758561611175537;1.8559614419937134;

500;0.27833354473114014;0.40086023807525634;0.3641453742980957;0.34167280197143557;3.6787431955337526;

600;0.4780632972717285;0.6794375419616699;0.6193874835968017;0.5839595556259155;6.468422675132752;

700;0.7586253881454468;1.0919300079345704;0.9743666172027587;0.9242941379547119;10.474111366271973;

800;1.1457539558410645;1.6055592536926269;1.4357595443725586;1.3729658365249633;15.929442167282104;

900;1.5770823240280152;2.2741377353668213;2.0287653684616087;1.9461749792099;22.42564709186554;

1000;2.1544124603271486;3.1141948461532594;2.7636956453323362;2.6661341905593874;31.68104531764984;

100;0.002824258804321289;0.003742074966430664;0.00401756763458252;0.0031530141830444338;0.029765892028808593;

200;0.019800257682800294;0.02579035758972168;0.02612941265106201;0.02271592617034912;0.23766794204711914;

300;0.05931055545806885;0.0844916820526123;0.08291797637939453;0.0751338005065918;0.8329017639160157;

400;0.14266090393066405;0.19407439231872559;0.19315483570098876;0.17436068058013915;2.0722885847091677;

500;0.2618155002593994;0.38450357913970945;0.3617719650268555;0.3357452392578125;4.10611093044281;

600;0.466571044921875;0.6454885482788086;0.6166755199432373;0.5781983613967896;7.191194152832031;

700;0.7449904680252075;1.0271478414535522;0.9682121515274048;0.9166989803314209;11.5583966255188;

800;1.0832143306732178;1.5143433570861817;1.4279377460479736;1.3629888057708741;17.53795716762543;

900;1.5389673948287963;2.1588122606277467;2.041181135177612;1.9349079132080078;24.955011749267577;

1000;2.1146243810653687;2.96413049697876;2.750685787200928;2.6515161037445067;34.29361412525177;
